License Number,Status,License Type,Orig. Iss. Date,Expir. Date,Primary Owner,Premises Addr.,Business Name,Geo Code,County
441595,ACTIVE,20,5/1/2007,3/31/2021,CLAROS ITALIAN MARKETS INC,"159 E COLLEGE ST,COVINA, CA  91723Census Tract:  4061.01",CLAROS ITALIAN MARKETS INC,1913,Los Angeles
441648,ACTIVE,21,7/27/2006,6/30/2021,"GURPREET, KAUR","8240 TAMPA AVE,RESEDA, CA  91335Census Tract:  1316.00",S & K LIQUOR,1933,Los Angeles
441676,ACTIVE,20,8/14/2006,7/31/2021,"JUNG, ALICE","6033 HELIOTROPE AVE,MAYWOOD, CA  90270-3306Census Tract:  5337.02",HELIOTROPE MARKET,1936,Los Angeles
441691,ACTIVE,20,9/12/2006,8/31/2021,"LE, DIANE LAN","3521 E 4TH ST,LOS ANGELES, CA  90063Census Tract:  2039.00",DRIVE IN RANCHO MARKET,1933,Los Angeles
441771,ACTIVE,21,8/10/2006,7/31/2021,TWO JS CORPORATION,"3720 W OLYMPIC BLVD,LOS ANGELES, CA  90019Census Tract:  2127.01",JACKS LIQUOR,1933,Los Angeles
441797,ACTIVE,20,8/2/2006,7/31/2021,"CHOI, JOY S","3798 ARLINGTON AVE,LOS ANGELES, CA  90018Census Tract:  2220.02",ARLINGTON COMMUNITY MARKET,1933,Los Angeles
441822,ACTIVE,21,7/6/2006,7/31/2021,"GARBANDA, HAFIZ FARHAN","7601 VINELAND AVE,SUN VALLEY, CA  91352Census Tract:  1221.20",QIK MARKET,1933,Los Angeles
441826,ACTIVE,20,8/3/2006,7/31/2021,SAMIS BROTHERS INC,"2427 LAKE AVE,ALTADENA, CA  91001Census Tract:  4611.00",EZZ STOP FOOD STORE,1900,Los Angeles
442284,ACTIVE,20,9/11/2006,8/31/2021,SAMAYA FRESH LLC,"13406 LEMOLI AVE,HAWTHORNE, CA  90250Census Tract:  6025.09",SAMAYA FRESH LLC,1900,Los Angeles
442479,ACTIVE,20,8/21/2008,7/31/2021,CIELO MALIBU ESTATE VINEYARDS LLC,"26800 AGOURA RD,CALABASAS, CA  91301-5116Census Tract:  8003.29",CIELO MALIBU ESTATE VINEYARDS,1987,Los Angeles
442524,ACTIVE,21,2/23/2007,10/31/2021,"MUSHMEL, RAJAA AZIZ","4420 4022 W VICTORY BLVD,BURBANK, CA  91505-1335Census Tract:  3111.00",NELSONS LIQUOR MARKET,1910,Los Angeles
442550,ACTIVE,21,5/30/2007,6/30/2021,TARGET CORPORATION,"2270 N BELLFLOWER BLVD,LONG BEACH, CA  90815-2017Census Tract:  5743.00",TARGET T 0195,1932,Los Angeles
442595,ACTIVE,21,9/1/2006,8/31/2021,HWASH CORP,"1360 E 7TH ST,LONG BEACH, CA  90813-4905Census Tract:  5765.02",BOURBON ST LIQUOR,1932,Los Angeles
442724,ACTIVE,20,9/26/2006,8/31/2021,"CHOI, ROY S","4501 S MAIN ST,LOS ANGELES, CA  90037Census Tract:  2319.00",EL BAJIO MARKET,1933,Los Angeles
442731,ACTIVE,20,8/25/2006,7/31/2021,MSL INVESTMENT INC,"600 S DITMAN AVE,LOS ANGELES, CA  90023-1810Census Tract:  5312.01",LOUISE MARKET,1900,Los Angeles
442737,ACTIVE,21,8/28/2006,7/31/2021,S K S SARABHA INC,"16573 VENTURA BLVD, STE 10-11,ENCINO, CA  91436-2028Census Tract:  1397.01",RUBIO GROCERY & LIQUOR,1933,Los Angeles
442887,ACTIVE,20,9/15/2006,8/31/2021,"HEO, JIN KYU","4111 VIA MARINA,MARINA DEL REY, CA  90292Census Tract:  7029.01",OAKWOOD CONVENIENCE STORE,1933,Los Angeles
443080,ACTIVE,21,2/8/2010,1/31/2021,TARGET CORPORATION,"651 W SEPULVEDA BLVD,CARSON, CA  90745-6314Census Tract:  5436.04",TARGET T2328,1977,Los Angeles
443184,ACTIVE,21,9/13/2006,8/31/2021,GIGIS LIQUOR 2 INC,"12114 VANOWEN ST,NORTH HOLLYWOOD, CA  91605-5651Census Tract:  1233.01",GIGIS LIQUOR 2,1933,Los Angeles
443286,ACTIVE,20,9/29/2006,8/31/2021,"GHOTRA, DALJIT SINGH","2250 S ATLANTIC BLVD, # A,COMMERCE, CA  90040-3949Census Tract:  5323.03",CARNICERIA MERCADO CALIMEX,1967,Los Angeles
443368,ACTIVE,21,5/25/2007,4/30/2021,BEVERAGES & MORE INC,"1397 E GLADSTONE ST,GLENDORA, CA  91740Census Tract:  4012.02",BEVERAGES & MORE,1922,Los Angeles
443475,ACTIVE,20,10/10/2006,9/30/2021,"KWON, BYUNG S","800-808 N STATE ST, STE 101,LOS ANGELES, CA  90033-1714Census Tract:  2036.00",MEADOW MAID MARKET,1933,Los Angeles
443516,ACTIVE,21,10/19/2006,9/30/2021,BEVERAGES & MORE INC,"21301 HAWTHORNE BLVD,TORRANCE, CA  90503-5632Census Tract:  6507.01",BEVMO,1958,Los Angeles
443587,ACTIVE,21,10/13/2006,6/30/2021,WALMART INC.,"1731 E AVENUE J,LANCASTER, CA  93535-6928Census Tract:  9006.09",WAL MART STORE 2951,1980,Los Angeles
443777,ACTIVE,21,12/8/2006,11/30/2021,DAEBU INVESTMENT GROUP INC,"2719-2721 E CARSON ST,CARSON, CA  90810-1511Census Tract:  5440.02",DELA LIQUOR,1977,Los Angeles
443854,ACTIVE,21,1/1/1994,6/30/2021,VONS COMPANIES INC THE,"29211 HEATHERCLIFF RD, # 10,MALIBU, CA  90265-4145Census Tract:  8004.08",VONS STORE 2813,1988,Los Angeles
443983,ACTIVE,20,10/20/2006,6/30/2021,CHEVRON STATIONS INC,"27549 THE OLD RD,VALENCIA, CA  91355Census Tract:  9203.39",CHEVRON USA,1900,Los Angeles
444189,ACTIVE,21,2/16/2007,2/28/2021,BEVERAGES & MORE INC,"39626 10TH ST W, STE D,PALMDALE, CA  93551-3000Census Tract:  9102.01",BEVMO,1974,Los Angeles
444598,ACTIVE,20,12/14/2006,6/30/2021,7 ELEVEN INC,"14240 HAWTHORNE BLVD,HAWTHORNE, CA  90250Census Tract:  6024.04",7 ELEVEN STORE 2173 24389D,1923,Los Angeles
444617,ACTIVE,20,4/17/2008,6/30/2021,CHEVRON STATIONS INC,"3633 N SEPULVEDA BLVD,MANHATTAN BEACH, CA  90266-3632Census Tract:  6203.01",CHEVRON 20219,1935,Los Angeles
444789,ACTIVE,21,11/13/2006,10/31/2021,OCEAN AVENUE  LLC,"1133 OCEAN AVE,SANTA MONICA, CA  90403-3503Census Tract:  7014.02",FAIRMONT MIRAMAR HOTEL,1953,Los Angeles
444994,ACTIVE,20,12/29/2006,11/30/2021,AMERICAN RANCH & SEAFOOD MARKETS INC,"19105 PIONEER BLVD,ARTESIA, CA  90701-6603Census Tract:  5549.00",AMERICAN RANCH & SEAFOOD MARKET,1964,Los Angeles
445206,ACTIVE,21,6/23/2008,5/31/2021,TARGET CORPORATION,"38019 47TH ST E,PALMDALE, CA  93552-3103Census Tract:  9107.11",TARGET T2350,1974,Los Angeles
445431,ACTIVE,21,3/25/2008,6/30/2021,TRADER JOES COMPANY,"475 W FOOTHILL BLVD,CLAREMONT, CA  91711-2701Census Tract:  4018.00",TRADER JOES 214,1911,Los Angeles
445441,ACTIVE,21,7/17/2008,6/30/2021,BODEGA LATINA CORPORATION,"1575 E HOLT AVE,POMONA, CA  91767-5823Census Tract:  4027.02",EL SUPER,1945,Los Angeles
445467,ACTIVE,21,11/1/2006,10/31/2021,"CHUNG, BYUNG JOO","140 S PACIFIC AVE,SAN PEDRO, CA  90731-2608Census Tract:  2962.20",FANCY PLUS MUNDO LIQUOR,1933,Los Angeles
445547,ACTIVE,21,9/26/2006,9/30/2021,"GEORGES, MICHEL","3440 FALCON ST,POMONA, CA  91767-1012Census Tract:  4017.03",SUPER STOP LIQUOR,1945,Los Angeles
446087,ACTIVE,20,12/12/2006,12/31/2021,BRAHMANI INVESTMENTS INC,"10411 S PRAIRIE AVE,INGLEWOOD, CA  90303Census Tract:  6018.02",ALTA DENA EXPRESS,1900,Los Angeles
446160,ACTIVE,20,11/9/2006,10/31/2021,"ABRICA, JOSE ANTONIO","11328 ATLANTIC AVE,LYNWOOD, CA  90262-3008Census Tract:  5400.00",ROSINAS MARKET,1934,Los Angeles
446201,ACTIVE,20,11/21/2006,6/30/2021,7 ELEVEN INC,"14104 FOOTHILL BLVD,SYLMAR, CA  91342-1516Census Tract:  1064.05",7 ELEVEN STORE 2133 21483D,1933,Los Angeles
446215,ACTIVE,20,11/14/2006,6/30/2021,7 ELEVEN INC,"6364 VINELAND AVE,NORTH HOLLYWOOD, CA  91606-3722Census Tract:  1231.04",7 ELEVEN STORE 2136 20401D,1933,Los Angeles
446222,ACTIVE,20,10/31/2006,9/30/2021,"HERMOSILLO, OSCAR P","529 ROSE AVE,VENICE, CA  90291-2680Census Tract:  2733.00",VENICE BEACH WINES,1933,Los Angeles
446245,ACTIVE,20,10/31/2006,9/30/2021,MJM VALLEJO MINI MARKET INC,"10717 CARMENITA RD,SANTA FE SPRINGS, CA  90670Census Tract:  5029.02",MJM VALLEJO MINI MARKET INC,1952,Los Angeles
446255,ACTIVE,21,11/13/2006,10/31/2021,"ABDULNOUR, IBRAHIM","2000 N GLENOAKS BLVD, UNIT B,BURBANK, CA  91504-2835Census Tract:  3104.00",GLENMAR LIQUOR & WINE,1910,Los Angeles
446287,ACTIVE,21,11/14/2006,10/31/2021,MIKES T H LIQUOR INC,"1673 INDIAN HILL BLVD,POMONA, CA  91767-3727Census Tract:  4027.06",MIKES LIQUOR,1945,Los Angeles
446288,ACTIVE,20,11/15/2006,10/31/2021,SHOAR OIL INC,"33488 CROWN VALLEY RD,ACTON, CA  93510-1725Census Tract:  9108.04",ACTON ARCO AM PM,1900,Los Angeles
446476,ACTIVE,20,11/21/2006,6/30/2021,7 ELEVEN INC,"10660 SEPULVEDA BLVD,MISSION HILLS, CA  91345-1919Census Tract:  1096.04",7 ELEVEN STORE 2133 18819D,1933,Los Angeles
446541,ACTIVE,20,1/23/2007,6/30/2021,7 ELEVEN INC,"1800 W OLYMPIC BLVD,LOS ANGELES, CA  90006-3702Census Tract:  2095.20",7 ELEVEN STORE 2173 21030B,1933,Los Angeles
446695,ACTIVE,21,12/19/2006,11/30/2021,VALLI HO LIQUOR INC,"16925 SHERMAN WAY,VAN NUYS, CA  91406-3614Census Tract:  1319.00",VALLI HO LIQUOR,1933,Los Angeles
446726,ACTIVE,20,12/1/2006,11/30/2021,"JIMENEZCASTRO, MARIA REYES","9715 LONG BEACH BLVD, STE F,SOUTH GATE, CA  90280-4193Census Tract:  5356.05",SOSA'S GROCERIES MARKET,1956,Los Angeles
446926,ACTIVE,21,5/4/2007,8/31/2021,HOWS MARKETS LLC,"5300-5338 LANKERSHIM BLVD,NORTH HOLLYWOOD, CA  91601-3113Census Tract:  1253.20",HOWS MARKETS,1933,Los Angeles
447057,ACTIVE,21,10/25/2006,11/30/2021,"GOMEZDEORTIZ, VICTORIA","3882 E 1ST ST,LOS ANGELES, CA  90063Census Tract:  5311.02",VICTORIAS LIQUOR MARKET,1900,Los Angeles
447327,ACTIVE,20,12/21/2006,11/30/2021,"CHOI, JENNIFER SUJIN","13126 S WESTERN AVE,GARDENA, CA  90249-1922Census Tract:  6029.00",STUES DAIRY MARKET,1920,Los Angeles
447454,ACTIVE,21,12/15/2006,11/30/2021,AL RABADI CORPORATION,"24879 SAN FERNANDO RD,SANTA CLARITA, CA  91321-1520Census Tract:  9203.36",E Z STOP LIQUOR,1985,Los Angeles
447492,ACTIVE,20,12/15/2006,11/30/2021,N & D OIL CORPORATION,"4801 LAUREL CANYON BLVD,NORTH HOLLYWOOD, CA  91607-3716Census Tract:  1240.00",NADERS MOBIL,1933,Los Angeles
447497,ACTIVE,21,12/15/2006,7/31/2021,ANI GROCERY & DELI INC,"1500 W GLENOAKS BLVD,GLENDALE, CA  91201-1913Census Tract:  3016.01",ANI GROCERY & DELI INC,1921,Los Angeles
447526,ACTIVE,20,3/12/2007,2/28/2021,ANABI OIL CORPORATION,"1195 W FOOTHILL BLVD,AZUSA, CA  91702-2845Census Tract:  4006.03",EVAS SHELL,1904,Los Angeles
447579,ACTIVE,20,11/16/2007,10/31/2021,EAGLE PETRO LA INC,"11846 DOWNEY AVE,DOWNEY, CA  90241-5170Census Tract:  5513.00",DOWNEY ARCO,1916,Los Angeles
447649,ACTIVE,21,12/19/2006,11/30/2021,"YI, YONG SUK","10815 S FIGUEROA ST,LOS ANGELES, CA  90061-1526Census Tract:  2412.02",GILS LIQUOR,1933,Los Angeles
447682,ACTIVE,20,1/9/2007,12/31/2021,UNITED BROTHERS INC,"14206 MULBERRY DR,WHITTIER, CA  90604-1204Census Tract:  5033.02",HANNAS MOBIL,1900,Los Angeles
447711,ACTIVE,21,12/19/2006,11/30/2021,SUN RYONG INC,"2501 PASADENA AVE,LOS ANGELES, CA  90031-2216Census Tract:  1990.00",ROYAL LIQUOR,1933,Los Angeles
447791,ACTIVE,21,1/8/2007,12/31/2021,JUNG AH INC,"1550 N WILMINGTON AVE,COMPTON, CA  90222-3401Census Tract:  5413.00",HANDYS LIQUOR AND DELI,1912,Los Angeles
447815,ACTIVE,20,4/27/2007,3/31/2021,SENKA INTERNATIONAL INC,"328 E 1ST ST, SPC 3,LOS ANGELES, CA  90012Census Tract:  2062.00",,1933,Los Angeles
447827,ACTIVE,21,8/1/2007,7/31/2021,A & B AZUSA INC,"2700 COLORADO BLVD, STE 140,LOS ANGELES, CA  90041-1048Census Tract:  1813.00",SEAFOOD CITY SUPERMARKET,1933,Los Angeles
448037,ACTIVE,20,5/21/2007,4/30/2021,EZB INC,"1904 W WASHINGTON BLVD,LOS ANGELES, CA  90018-1634Census Tract:  2214.02",,1933,Los Angeles
448220,ACTIVE,21,1/22/2007,12/31/2021,"HAM, KYEONG JU","1428 ATLANTIC AVE,LONG BEACH, CA  90813-2013Census Tract:  5753.00",JOHNS LIQUOR & JR MARKET,1932,Los Angeles
448397,ACTIVE,21,2/8/2007,1/31/2021,M W F INC,"5474 VALLEY BLVD,LOS ANGELES, CA  90032Census Tract:  2017.00",VALLEY FOOD LIQUOR,1933,Los Angeles
448531,ACTIVE,21,12/12/2006,4/30/2021,"NGUYEN, KHA THI","6818 S WESTERN AVE,LOS ANGELES, CA  90047-1839Census Tract:  2373.00",MR SPIRIT LIQUOR,1933,Los Angeles
448546,ACTIVE,20,1/30/2007,6/30/2021,7 ELEVEN INC,"13901 VENTURA BLVD,SHERMAN OAKS, CA  91423-3501Census Tract:  1411.02",7 ELEVEN 2136 26175 B,1933,Los Angeles
448666,ACTIVE,21,1/29/2007,12/31/2021,"KUNDU, TAPON KUMAR","111-111 1/2 S VERMONT AVE,LOS ANGELES, CA  90004Census Tract:  2113.20",A & A LIQUOR MARKET,1933,Los Angeles
448802,ACTIVE,20,1/19/2007,12/31/2021,MINHPAN CORPORATION,"8843 SANTA FE SPRINGS RD,WHITTIER, CA  90606Census Tract:  5020.04",HELENS MARKET,1961,Los Angeles
448818,ACTIVE,21,11/1/2007,10/31/2021,2M LIQUOR INC,"2809 E SLAUSON AVE,HUNTINGTON PARK, CA  90255-3101Census Tract:  5325.00",2M LIQUOR,1925,Los Angeles
448828,ACTIVE,21,1/24/2007,3/31/2021,CORNER LIQUOR INC,"10336 LOWER AZUSA RD,EL MONTE, CA  91731-1207Census Tract:  4323.00",CORNER LIQUOR,1918,Los Angeles
448868,ACTIVE,21,2/14/2007,11/30/2021,"HUH, SUN KWAN","3502 W 8TH ST,LOS ANGELES, CA  90005-2902Census Tract:  2125.02",OXFORD MINI MART,1933,Los Angeles
448886,ACTIVE,21,2/8/2007,1/31/2022,"KUO, JIMMY CHIH HSIUNG","8100 EASTERN AVE,BELL GARDENS, CA  90201-6109Census Tract:  5342.02",EASTERN,1972,Los Angeles
448907,ACTIVE,21,4/23/2009,3/31/2021,A F GILMORE COMPANY,"6333 W 3RD ST, STE 150,LOS ANGELES, CA  90036-3191Census Tract:  2145.01",FARMERS MARKET GROCERY STROUKS CHEESE SHOP,1933,Los Angeles
448940,ACTIVE,20,3/7/2007,2/28/2021,SUNSET OIL CORPORATION,"7100 W SUNSET BLVD,LOS ANGELES, CA  90046Census Tract:  1899.02",SUNSET MOBIL,1933,Los Angeles
448984,ACTIVE,20,1/29/2007,12/31/2021,YG & HK CORPORATION,"12349 FINEVIEW ST,EL MONTE, CA  91732-3948Census Tract:  4340.03",FINEVIEW MARKET,1918,Los Angeles
449023,ACTIVE,21,2/6/2007,9/30/2021,SAMS LIQUOR INC OF PALMDALE,"1013 E PALMDALE BLVD,PALMDALE, CA  93550-4737Census Tract:  9105.01",SAMS MARKET & LIQUOR,1974,Los Angeles
449206,ACTIVE,21,3/23/2007,2/28/2021,"HUR, JAMES JAEDUCK","2125 SAN GABRIEL BLVD,ROSEMEAD, CA  91770Census Tract:  4825.21",VITOS LIQUOR,1965,Los Angeles
449282,ACTIVE,21,3/27/2007,2/28/2021,V & C S BEVERAGE DEPOT INC,"13583 WHITTIER BLVD,WHITTIER, CA  90605Census Tract:  5018.02",LIQUOR MART,1961,Los Angeles
449287,ACTIVE,20,10/18/2011,9/30/2021,WHIT SHERM INC,"7214 WHITSETT AVE,NORTH HOLLYWOOD, CA  91605-4315Census Tract:  1233.04",CHEVRON GAS,1933,Los Angeles
449297,ACTIVE,20,4/6/2007,3/31/2021,"ABDULNOUR, RAYED","4722-24 N MAINE AVE,BALDWIN PARK, CA  91706-2557Census Tract:  4051.01",JENSENS MARKET,1905,Los Angeles
449299,ACTIVE,20,3/1/2007,2/28/2021,CHERRY MARKET & GAS ENTERPRISES INC,"2790 CHERRY AVE,SIGNAL HILL, CA  90755-2011Census Tract:  5734.02",CHERRY MARKET & GAS ENTERPRISES INC,1955,Los Angeles
449845,ACTIVE,21,1/24/2007,2/28/2021,"DAHI, JAMAL YARED","750 S INDIAN HILL BLVD, STE A,CLAREMONT, CA  91711Census Tract:  4020.02",WINE & LIQUOR MARKET,1911,Los Angeles
449853,ACTIVE,21,1/26/2007,1/31/2022,"DIAB, ZIAD ISSA","4741 MAINE AVE,BALDWIN PARK, CA  91706-2558Census Tract:  4051.01",VANCES LIQUOR,1905,Los Angeles
449858,ACTIVE,21,1/24/2007,2/28/2021,"DAHI, GHAZI","5215 N CLYDEBANK AVE,AZUSA, CA  91702-5143Census Tract:  4045.01",DONS LIQUOR & DELI,1900,Los Angeles
449899,ACTIVE,21,1/25/2007,1/31/2021,"DIAB, WAEL NADIM","16924 S WESTERN AVE,GARDENA, CA  90247-5220Census Tract:  6033.02",CASINO LIQUOR,1920,Los Angeles
449903,ACTIVE,20,8/16/2007,7/31/2021,RESIDENCE INN BY MARRIOTT LLC,"3701 TORRANCE BLVD,TORRANCE, CA  90503-4805Census Tract:  6506.04",RESIDENCE INN BY MARRIOTT,1958,Los Angeles
449988,ACTIVE,21,1/29/2007,7/31/2021,"MAIDA, GEORGE","320 W ALHAMBRA RD,ALHAMBRA, CA  91801-2324Census Tract:  4803.04",ULTIMATE LIQUOR & JR MARKET THE,1901,Los Angeles
450161,ACTIVE,21,2/7/2007,3/31/2021,"MECHAMMIL, GHOLWAN BSHARA","10575 MAGNOLIA BLVD,NORTH HOLLYWOOD, CA  91601-4144Census Tract:  1253.10",BAMFORD LIQUORS,1933,Los Angeles
450205,ACTIVE,21,4/17/2007,3/31/2021,MEGA LIQUOR 4,"301 W LAS TUNAS DR,SAN GABRIEL, CA  91776-1201Census Tract:  4802.01",MEGA LIQUOR 4,1950,Los Angeles
450214,ACTIVE,21,5/18/2007,4/30/2021,MEGA LIQUOR 8,"2020 W VALLEY BLVD,ALHAMBRA, CA  91803-1922Census Tract:  4819.01",MEGA LIQUOR 8,1901,Los Angeles
450236,ACTIVE,21,4/17/2007,3/31/2021,"JARJOUR, SAMI","14901 VENTURA BLVD,SHERMAN OAKS, CA  91403-3456Census Tract:  1413.02",VALLEY BEVERAGE COMPANY,1933,Los Angeles
450310,ACTIVE,20,3/21/2007,2/28/2021,MIWOO INC,"20925 ROSCOE BLVD,CANOGA PARK, CA  91304-4373Census Tract:  1132.34",ROSCOE JR MARKET,1933,Los Angeles
450314,ACTIVE,20,3/19/2007,2/28/2021,"SANCHEZRAMIREZ, FACUNDO","6109 HOLMES AVE,LOS ANGELES, CA  90001-1819Census Tract:  5327.00",EL POBLANO MEAT MARKET,1900,Los Angeles
450477,ACTIVE,21,3/23/2007,2/28/2021,"MANGAL, OMAR","29160 ROADSIDE DR,AGOURA HILLS, CA  91301-3306Census Tract:  8003.29",PARTY HOUSE LIQUOR,1982,Los Angeles
450732,ACTIVE,21,4/11/2007,3/31/2021,DHANGUR SUPERMARKET INC,"4051-53 E GAGE AVE,BELL, CA  90201-1145Census Tract:  5336.01",MINI MAX LIQUOR MARKET,1906,Los Angeles
450811,ACTIVE,21,8/6/2007,6/30/2021,TARGET CORPORATION,"2462 FOOTHILL BLVD,LA VERNE, CA  91750-3056Census Tract:  4016.02",TARGET T0226,1931,Los Angeles
451012,ACTIVE,21,4/27/2007,3/31/2021,OCEANVIEW LIQUOR INC,"3232 MANHATTAN AVE,HERMOSA BEACH, CA  90254-2035Census Tract:  6210.04",OCEANVIEW LIQUOR,1924,Los Angeles
451059,ACTIVE,20,12/7/2007,11/30/2021,"KELSANG, YOULO","245 W PACIFIC COAST HWY,LONG BEACH, CA  90806-6114Census Tract:  5730.04",EL PAISANO RANCH MARKET,1932,Los Angeles
451277,ACTIVE,20,5/31/2007,4/30/2021,"KHIM, MEAN","1355 W WILLOW ST,LONG BEACH, CA  90810-3118Census Tract:  5726.00",MEADOW MAID DAIRY,1932,Los Angeles
451461,ACTIVE,21,6/4/2007,5/31/2021,"HAN, JIN SOOK","5946-48 S MAIN ST,LOS ANGELES, CA  90003-1201Census Tract:  2392.02",TOWN DELI & LIQUOR,1933,Los Angeles
451564,ACTIVE,21,8/2/2007,7/31/2021,NORTHGATE GONZALEZ LLC,"1320 W FRANCISQUITO AVE,WEST COVINA, CA  91790-4630Census Tract:  4074.00",NORTHGATE MARKET 22,1960,Los Angeles
451566,ACTIVE,21,8/2/2007,7/31/2021,NORTHGATE GONZALEZ LLC,"3828 PECK RD,EL MONTE, CA  91732-2241Census Tract:  4326.01",NORTHGATE MARKET 20,1918,Los Angeles
451569,ACTIVE,21,8/2/2007,7/31/2021,NORTHGATE GONZALEZ LLC,"831 N HACIENDA BLVD,LA PUENTE, CA  91744-2809Census Tract:  4072.00",NORTHGATE MARKET 6B,1930,Los Angeles
451588,ACTIVE,21,8/2/2007,7/31/2021,NORTHGATE GONZALEZ LLC,"11660 FIRESTONE BLVD,NORWALK, CA  90650-2800Census Tract:  5520.02",NORTHGATE MARKET 25,1940,Los Angeles
451589,ACTIVE,21,9/20/2007,8/31/2021,NORTHGATE GONZALEZ LLC,"2633 SANTA ANA ST,SOUTH GATE, CA  90280Census Tract:  5355.01",NORTHGATE MARKET 19,1956,Los Angeles
451595,ACTIVE,21,9/19/2007,8/31/2021,NORTHGATE GONZALEZ LLC,"6801 ATLANTIC AVE,BELL, CA  90201Census Tract:  5336.03",NORTHGATE MARKET 10,1906,Los Angeles
451601,ACTIVE,21,5/17/2007,4/30/2021,"DURGHALLI, JERRY GHAZI","16642 MARQUEZ AVE,PACIFIC PALISADES, CA  90272-3233Census Tract:  2626.04",RONNYS MARKET & LIQUOR,1933,Los Angeles
451602,ACTIVE,21,8/2/2007,7/31/2021,NORTHGATE GONZALEZ LLC,"2120 PACIFIC AVE,LONG BEACH, CA  90806-4514Census Tract:  5730.02",NORTHGATE MARKET 12,1932,Los Angeles
451604,ACTIVE,21,8/2/2007,7/31/2021,NORTHGATE GONZALEZ LLC,"16259 PARAMOUNT BLVD,PARAMOUNT, CA  90723Census Tract:  5538.02",NORTHGATE MARKET 17,1942,Los Angeles
451609,ACTIVE,20,7/2/2007,6/30/2021,"MEJIA, MARIA LUISA","4800 S VERMONT AVE,LOS ANGELES, CA  90037-2930Census Tract:  2321.10",B&W MARKET,1933,Los Angeles
451615,ACTIVE,21,4/26/2007,3/31/2021,"CHOE, SUN CHA","6020 SANTA FE AVE,HUNTINGTON PARK, CA  90255-2724Census Tract:  5326.04",SANTA FE LIQUOR,1925,Los Angeles
451633,ACTIVE,21,5/7/2007,4/30/2021,"RAVALIYA, CHANDRESH DEVANAND","9558 FIRESTONE BLVD,DOWNEY, CA  90241-5506Census Tract:  5511.02",LOUIS LIQUOR,1916,Los Angeles
451899,ACTIVE,20,5/4/2007,2/28/2021,786 VENTURE INC,"14761 DEVONSHIRE ST,MISSION HILLS, CA  91345-2818Census Tract:  1096.01",ARCO AM PM 1575,1933,Los Angeles
451948,ACTIVE,21,5/7/2007,1/31/2022,EMILIOS BEVERAGE WAREHOUSE INC,"17251 LAKEWOOD BLVD,BELLFLOWER, CA  90706-6221Census Tract:  5543.02",EMILIOS BEVERAGE WAREHOUSE INC,1907,Los Angeles
452075,ACTIVE,21,7/12/2007,6/30/2021,RALPHS GROCERY COMPANY,"645 W 9TH ST,LOS ANGELES, CA  90015-1415Census Tract:  2077.10",RALPHS 22,1933,Los Angeles
452145,ACTIVE,20,6/12/2007,5/31/2021,E & T FOODS INC,"475 E ORANGE GROVE BLVD,PASADENA, CA  91104-4350Census Tract:  4621.00",BAJA RANCH SUPERMARKET,1943,Los Angeles
452166,ACTIVE,20,5/4/2007,4/30/2021,SIYARAM CORPORATION,"8119 ALONDRA BLVD,PARAMOUNT, CA  90723-4462Census Tract:  5539.01",U 1 MARKET,1942,Los Angeles
452237,ACTIVE,21,5/17/2007,9/30/2021,NEELKANTH INVESTMENTS INC,"11302 WASHINGTON BLVD,SANTA FE SPRINGS, CA  90670Census Tract:  5023.02",ALTA DENA EXPRESS,1952,Los Angeles
452291,ACTIVE,21,4/10/2007,2/28/2021,"KHALIL, GEORGE","7801 CANOGA AVE, STE 4,CANOGA PARK, CA  91304-5019Census Tract:  1343.06",STARS CORK N BOTTLE SHOP,1933,Los Angeles
452417,ACTIVE,20,5/23/2007,6/30/2021,7 ELEVEN INC,"15805 PRAIRIE AVE,LAWNDALE, CA  90260-2711Census Tract:  6041.00",7 ELEVEN STORE 2173 17243E,1900,Los Angeles
452443,ACTIVE,20,6/5/2007,5/31/2021,"SAYABALIAN, SAMUEL","2546 S LA BREA AVE,LOS ANGELES, CA  90016-2805Census Tract:  2197.00",SAMS CHEVRON,1933,Los Angeles
452504,ACTIVE,20,6/1/2007,5/31/2021,"RAHMAN, MAHBUBUR","1141 MYRTLE AVE,INGLEWOOD, CA  90301-4222Census Tract:  6011.00",O & K MARKET,1927,Los Angeles
452520,ACTIVE,21,5/31/2007,4/30/2021,"ABOUEID, JOHN","7701 STATE ST,HUNTINGTON PARK, CA  90255-6405Census Tract:  5345.01",STATE LIQUOR,1925,Los Angeles
452788,ACTIVE,21,11/27/2007,6/30/2021,SUPER CENTER CONCEPTS INC,"1858 DURFEE AVE,SOUTH EL MONTE, CA  91733-3709Census Tract:  4340.04",SUPERIOR GROCERS,1962,Los Angeles
452834,ACTIVE,20,6/21/2007,5/31/2021,"KIM, PAUL SANGYOOL","4135 SANTA ANA ST,HUNTINGTON PARK, CA  90255-6849Census Tract:  5345.02",B & B MARKET,1925,Los Angeles
453042,ACTIVE,20,6/6/2007,5/31/2021,"COSTA, MARCO PAUL","11655 ARTESIA BLVD,ARTESIA, CA  90701-3849Census Tract:  5548.01",PORTUGAL IMPORTS,1964,Los Angeles
453288,ACTIVE,20,3/26/2009,2/28/2021,"SKOGSTROM, TIMOTHY SHEA","29975 MULHOLLAND HWY,CORNELL, CA  91301-3009Census Tract:  8003.29",CORNELL WINERY & WINE TASTING ROOM,1900,Los Angeles
